"id_answer" ;"good" ;"community" ;"reviews"
78,743 ;yes ;chemistry.stackexchange.com ;0
51,302 ;yes ;chemistry.stackexchange.com ;0
60,190 ;yes ;chemistry.stackexchange.com ;0
59,494 ;yes ;chemistry.stackexchange.com ;0
78,213 ;yes ;chemistry.stackexchange.com ;0
83,347 ;yes ;chemistry.stackexchange.com ;0
76,059 ;no ;chemistry.stackexchange.com ;0
67,125 ;yes ;chemistry.stackexchange.com ;0
84,137 ;yes ;chemistry.stackexchange.com ;0
79,125 ;yes ;chemistry.stackexchange.com ;0
74,950 ;yes ;chemistry.stackexchange.com ;0
71,337 ;yes ;chemistry.stackexchange.com ;0
58,374 ;yes ;chemistry.stackexchange.com ;0
78,358 ;yes ;chemistry.stackexchange.com ;0
64,481 ;yes ;chemistry.stackexchange.com ;0
71,639 ;yes ;chemistry.stackexchange.com ;0
61,731 ;yes ;chemistry.stackexchange.com ;0
75,345 ;yes ;chemistry.stackexchange.com ;0
54,892 ;yes ;chemistry.stackexchange.com ;0
66,628 ;yes ;chemistry.stackexchange.com ;0
58,016 ;yes ;chemistry.stackexchange.com ;0
81,215 ;yes ;chemistry.stackexchange.com ;0
49,714 ;yes ;chemistry.stackexchange.com ;0
86,471 ;yes ;chemistry.stackexchange.com ;0
61,749 ;no ;chemistry.stackexchange.com ;0
80,990 ;yes ;chemistry.stackexchange.com ;0
40,970 ;yes ;chemistry.stackexchange.com ;0
79,279 ;no ;chemistry.stackexchange.com ;0
75,838 ;yes ;chemistry.stackexchange.com ;0
40,335 ;yes ;chemistry.stackexchange.com ;0
61,353 ;yes ;chemistry.stackexchange.com ;0
81,852 ;yes ;chemistry.stackexchange.com ;0
61,910 ;yes ;chemistry.stackexchange.com ;0
72,414 ;yes ;chemistry.stackexchange.com ;0
68,657 ;yes ;chemistry.stackexchange.com ;0
83,311 ;no ;chemistry.stackexchange.com ;0
58,998 ;yes ;chemistry.stackexchange.com ;0
69,310 ;no ;chemistry.stackexchange.com ;0
47,835 ;yes ;chemistry.stackexchange.com ;0
46,745 ;yes ;chemistry.stackexchange.com ;0
61,899 ;yes ;chemistry.stackexchange.com ;0
84,866 ;yes ;chemistry.stackexchange.com ;0
83,815 ;yes ;chemistry.stackexchange.com ;0
48,541 ;no ;chemistry.stackexchange.com ;0
84,869 ;yes ;chemistry.stackexchange.com ;0
51,028 ;yes ;chemistry.stackexchange.com ;0
80,817 ;yes ;chemistry.stackexchange.com ;0
51,524 ;yes ;chemistry.stackexchange.com ;0
52,210 ;no ;chemistry.stackexchange.com ;0
58,189 ;yes ;chemistry.stackexchange.com ;0
79,471 ;yes ;chemistry.stackexchange.com ;0
81,031 ;yes ;chemistry.stackexchange.com ;0
46,817 ;no ;chemistry.stackexchange.com ;0
50,048 ;yes ;chemistry.stackexchange.com ;0
53,502 ;no ;chemistry.stackexchange.com ;0
71,114 ;no ;chemistry.stackexchange.com ;0
73,342 ;no ;chemistry.stackexchange.com ;0
70,843 ;yes ;chemistry.stackexchange.com ;0
58,152 ;yes ;chemistry.stackexchange.com ;0
72,549 ;yes ;chemistry.stackexchange.com ;0
85,015 ;no ;chemistry.stackexchange.com ;0
42,111 ;yes ;chemistry.stackexchange.com ;0
61,364 ;yes ;chemistry.stackexchange.com ;0
64,541 ;yes ;chemistry.stackexchange.com ;0
54,071 ;yes ;chemistry.stackexchange.com ;0
81,713 ;yes ;chemistry.stackexchange.com ;0
67,771 ;yes ;chemistry.stackexchange.com ;0
57,896 ;yes ;chemistry.stackexchange.com ;0
50,321 ;yes ;chemistry.stackexchange.com ;0
53,716 ;yes ;chemistry.stackexchange.com ;0
83,159 ;yes ;chemistry.stackexchange.com ;0
71,214 ;yes ;chemistry.stackexchange.com ;0
42,693 ;yes ;chemistry.stackexchange.com ;0
48,508 ;yes ;chemistry.stackexchange.com ;0
56,166 ;yes ;chemistry.stackexchange.com ;0
46,025 ;yes ;chemistry.stackexchange.com ;0
42,126 ;yes ;chemistry.stackexchange.com ;0
54,137 ;yes ;chemistry.stackexchange.com ;0
81,584 ;yes ;chemistry.stackexchange.com ;0
78,692 ;yes ;chemistry.stackexchange.com ;0
45,033 ;yes ;chemistry.stackexchange.com ;0
53,615 ;yes ;chemistry.stackexchange.com ;0
50,038 ;yes ;chemistry.stackexchange.com ;0
51,946 ;yes ;chemistry.stackexchange.com ;0
80,381 ;yes ;chemistry.stackexchange.com ;0
40,411 ;no ;chemistry.stackexchange.com ;0
64,849 ;yes ;chemistry.stackexchange.com ;0
79,027 ;yes ;chemistry.stackexchange.com ;0
62,462 ;yes ;chemistry.stackexchange.com ;0
66,404 ;yes ;chemistry.stackexchange.com ;0
70,189 ;yes ;chemistry.stackexchange.com ;0
54,378 ;yes ;chemistry.stackexchange.com ;0
69,339 ;yes ;chemistry.stackexchange.com ;0
85,479 ;yes ;chemistry.stackexchange.com ;0
61,126 ;no ;chemistry.stackexchange.com ;0
83,846 ;no ;chemistry.stackexchange.com ;0
74,520 ;yes ;chemistry.stackexchange.com ;0
50,767 ;yes ;chemistry.stackexchange.com ;0
43,659 ;yes ;chemistry.stackexchange.com ;0
76,379 ;yes ;chemistry.stackexchange.com ;0
74,632 ;yes ;chemistry.stackexchange.com ;0
56,665 ;yes ;chemistry.stackexchange.com ;0
82,921 ;yes ;chemistry.stackexchange.com ;0
76,838 ;yes ;chemistry.stackexchange.com ;0
85,605 ;no ;chemistry.stackexchange.com ;0
76,434 ;yes ;chemistry.stackexchange.com ;0
49,674 ;yes ;chemistry.stackexchange.com ;0
62,782 ;yes ;chemistry.stackexchange.com ;0
40,021 ;yes ;chemistry.stackexchange.com ;0
71,984 ;yes ;chemistry.stackexchange.com ;0
63,935 ;yes ;chemistry.stackexchange.com ;0
70,070 ;yes ;chemistry.stackexchange.com ;0
85,879 ;yes ;chemistry.stackexchange.com ;0
65,624 ;yes ;chemistry.stackexchange.com ;0
69,750 ;yes ;chemistry.stackexchange.com ;0
80,697 ;yes ;chemistry.stackexchange.com ;0
79,328 ;no ;chemistry.stackexchange.com ;0
79,226 ;yes ;chemistry.stackexchange.com ;0
58,612 ;yes ;chemistry.stackexchange.com ;0
82,316 ;yes ;chemistry.stackexchange.com ;0
77,477 ;yes ;chemistry.stackexchange.com ;0
43,362 ;yes ;chemistry.stackexchange.com ;0
73,110 ;yes ;chemistry.stackexchange.com ;0
77,664 ;yes ;chemistry.stackexchange.com ;0
41,707 ;yes ;chemistry.stackexchange.com ;0
53,850 ;yes ;chemistry.stackexchange.com ;0
56,963 ;yes ;chemistry.stackexchange.com ;0
77,234 ;yes ;chemistry.stackexchange.com ;0
75,856 ;no ;chemistry.stackexchange.com ;0
53,754 ;yes ;chemistry.stackexchange.com ;0
52,393 ;yes ;chemistry.stackexchange.com ;0
65,945 ;yes ;chemistry.stackexchange.com ;0
61,554 ;no ;chemistry.stackexchange.com ;0
56,349 ;yes ;chemistry.stackexchange.com ;0
75,676 ;no ;chemistry.stackexchange.com ;0
57,760 ;yes ;chemistry.stackexchange.com ;0
84,867 ;yes ;chemistry.stackexchange.com ;0
84,733 ;yes ;chemistry.stackexchange.com ;0
43,997 ;no ;chemistry.stackexchange.com ;0
79,717 ;yes ;chemistry.stackexchange.com ;0
46,145 ;yes ;chemistry.stackexchange.com ;0
48,391 ;yes ;chemistry.stackexchange.com ;0
76,357 ;yes ;chemistry.stackexchange.com ;0
81,337 ;yes ;chemistry.stackexchange.com ;0
55,683 ;no ;chemistry.stackexchange.com ;0
82,937 ;no ;chemistry.stackexchange.com ;0
70,329 ;yes ;chemistry.stackexchange.com ;0
65,173 ;yes ;chemistry.stackexchange.com ;0
45,093 ;yes ;chemistry.stackexchange.com ;0
81,053 ;yes ;chemistry.stackexchange.com ;0
76,415 ;yes ;chemistry.stackexchange.com ;0
81,914 ;yes ;chemistry.stackexchange.com ;0
69,244 ;yes ;chemistry.stackexchange.com ;0
79,343 ;no ;chemistry.stackexchange.com ;0
76,037 ;yes ;chemistry.stackexchange.com ;0
79,450 ;yes ;chemistry.stackexchange.com ;0
84,361 ;no ;chemistry.stackexchange.com ;0
50,684 ;yes ;chemistry.stackexchange.com ;0
72,162 ;yes ;chemistry.stackexchange.com ;0
75,147 ;yes ;chemistry.stackexchange.com ;0
56,064 ;yes ;chemistry.stackexchange.com ;0
45,465 ;yes ;chemistry.stackexchange.com ;0
78,068 ;yes ;chemistry.stackexchange.com ;0
77,454 ;yes ;chemistry.stackexchange.com ;0
76,830 ;no ;chemistry.stackexchange.com ;0
85,416 ;no ;chemistry.stackexchange.com ;0
64,827 ;yes ;chemistry.stackexchange.com ;0
83,498 ;yes ;chemistry.stackexchange.com ;0
57,759 ;yes ;chemistry.stackexchange.com ;0
70,766 ;yes ;chemistry.stackexchange.com ;0
79,615 ;yes ;chemistry.stackexchange.com ;0
40,514 ;no ;chemistry.stackexchange.com ;0
56,323 ;no ;chemistry.stackexchange.com ;0
64,466 ;yes ;chemistry.stackexchange.com ;0
45,335 ;yes ;chemistry.stackexchange.com ;0
74,423 ;yes ;chemistry.stackexchange.com ;0
45,992 ;yes ;chemistry.stackexchange.com ;0
72,452 ;no ;chemistry.stackexchange.com ;0
56,079 ;yes ;chemistry.stackexchange.com ;0
83,811 ;yes ;chemistry.stackexchange.com ;0
71,967 ;no ;chemistry.stackexchange.com ;0
60,858 ;yes ;chemistry.stackexchange.com ;0
61,837 ;yes ;chemistry.stackexchange.com ;0
83,403 ;yes ;chemistry.stackexchange.com ;0
54,356 ;yes ;chemistry.stackexchange.com ;0
72,098 ;yes ;chemistry.stackexchange.com ;0
81,830 ;yes ;chemistry.stackexchange.com ;0
82,133 ;yes ;chemistry.stackexchange.com ;0
73,152 ;no ;chemistry.stackexchange.com ;0
39,994 ;yes ;chemistry.stackexchange.com ;0
76,862 ;yes ;chemistry.stackexchange.com ;0
66,704 ;yes ;chemistry.stackexchange.com ;0
82,467 ;no ;chemistry.stackexchange.com ;0
39,840 ;yes ;chemistry.stackexchange.com ;0
84,625 ;yes ;chemistry.stackexchange.com ;0
81,553 ;no ;chemistry.stackexchange.com ;0
78,862 ;yes ;chemistry.stackexchange.com ;0
64,457 ;no ;chemistry.stackexchange.com ;0
64,394 ;yes ;chemistry.stackexchange.com ;0
52,255 ;yes ;chemistry.stackexchange.com ;0
80,165 ;yes ;chemistry.stackexchange.com ;0
42,751 ;yes ;chemistry.stackexchange.com ;0
69,751 ;yes ;chemistry.stackexchange.com ;0
74,275 ;no ;chemistry.stackexchange.com ;0
