"id_answer" ;"good" ;"community" ;"reviews" ;"retention"
3,452 ;yes ;biology.stackexchange.com ;125,091 ;158,623,273.32
2,862 ;yes ;biology.stackexchange.com ;377,362 ;158,529,678.33
3,572 ;yes ;biology.stackexchange.com ;249,098 ;152,692,771.323
4,762 ;yes ;biology.stackexchange.com ;1,137,739 ;148,619,475.137
2,174 ;yes ;biology.stackexchange.com ;216,190 ;148,392,124.646
4,555 ;yes ;biology.stackexchange.com ;769,098 ;142,901,731.57
6,159 ;yes ;biology.stackexchange.com ;151,441 ;139,002,706.206
2,279 ;yes ;biology.stackexchange.com ;205,364 ;134,600,618.97
6,317 ;yes ;biology.stackexchange.com ;799,247 ;134,568,252.96
2,697 ;yes ;biology.stackexchange.com ;234,974 ;133,849,994.047
6,700 ;yes ;biology.stackexchange.com ;323,756 ;133,656,684.25
2,945 ;yes ;biology.stackexchange.com ;190,227 ;130,503,943.296
6,984 ;yes ;biology.stackexchange.com ;1,467,324 ;128,880,363.716
7,011 ;yes ;biology.stackexchange.com ;147,662 ;128,689,887.64
4,286 ;yes ;biology.stackexchange.com ;101,599 ;128,093,329.626
2,975 ;yes ;biology.stackexchange.com ;231,994 ;128,073,932.39
5,191 ;yes ;biology.stackexchange.com ;353,348 ;123,656,563.134
3,953 ;yes ;biology.stackexchange.com ;190,243 ;123,245,928.593
5,308 ;yes ;biology.stackexchange.com ;512,314 ;122,786,495.85
4,229 ;yes ;biology.stackexchange.com ;202,606 ;121,498,126.71
4,409 ;yes ;biology.stackexchange.com ;731,942 ;119,150,906.477
2,910 ;yes ;biology.stackexchange.com ;222,132 ;118,465,864.284
8,771 ;yes ;biology.stackexchange.com ;339,931 ;118,416,146.117
2,548 ;yes ;biology.stackexchange.com ;676,099 ;117,746,098.454
6,046 ;yes ;biology.stackexchange.com ;300,428 ;117,582,898.577
8,663 ;yes ;biology.stackexchange.com ;805,537 ;116,584,644.04
9,290 ;yes ;biology.stackexchange.com ;1,072,488 ;116,487,446.243
5,696 ;yes ;biology.stackexchange.com ;175,490 ;115,623,915.967
7,998 ;yes ;biology.stackexchange.com ;143,015 ;114,858,700.343
5,936 ;yes ;biology.stackexchange.com ;509,622 ;113,076,957.174
2,208 ;yes ;biology.stackexchange.com ;330,510 ;113,053,877.266
10,188 ;yes ;biology.stackexchange.com ;688,448 ;112,948,525.557
3,262 ;yes ;biology.stackexchange.com ;861,693 ;112,443,581.507
5,735 ;yes ;biology.stackexchange.com ;818,231 ;109,972,864.71
2,543 ;yes ;biology.stackexchange.com ;795,229 ;108,486,374.443
9,465 ;yes ;biology.stackexchange.com ;1,574,283 ;108,210,932.297
4,876 ;yes ;biology.stackexchange.com ;102,032 ;108,005,775.913
10,174 ;yes ;biology.stackexchange.com ;492,478 ;107,562,746.873
10,733 ;yes ;biology.stackexchange.com ;296,366 ;107,524,914.7
10,828 ;yes ;biology.stackexchange.com ;1,445,299 ;107,499,809.126
2,738 ;yes ;biology.stackexchange.com ;141,431 ;106,110,000.02
3,043 ;yes ;biology.stackexchange.com ;746,570 ;106,022,468.024
10,451 ;yes ;biology.stackexchange.com ;316,093 ;105,634,812.213
9,768 ;yes ;biology.stackexchange.com ;287,703 ;105,067,521.066
2,371 ;yes ;biology.stackexchange.com ;272,186 ;104,562,894.22
5,858 ;yes ;biology.stackexchange.com ;329,409 ;104,416,571.106
2,955 ;yes ;biology.stackexchange.com ;668,657 ;103,843,739.313
